Item Code   , Item, Element Code, Element, Unit          , Y1961 , Y1961F , Y1962, Y1962F , Y1963, Y1963F , Y1964, Y1964F , Y1965, Y1965F , Y1966, Y1966F , Y1967, Y1967F , Y1968, Y1968F , Y1969, Y1969F , Y1970, Y1970F , Y1971, Y1971F , Y1972, Y1972F, Y1973, Y1973F, Y1974, Y1974F, Y1975, Y1975F, Y1976, Y1976F, Y1977, Y1977F, Y1978, Y1978F, Y1979, Y1979F , Y1980, Y1980F , Y1981, Y1981F , Y1982, Y1982F , Y1983, Y1983F , Y1984, Y1984F , Y1985, Y1985F, Y1986, Y1986F, Y1987, Y1987F, Y1988, Y1988F, Y1989, Y1989F, Y1990, Y1990F, Y1991, Y1991F, Y1992, Y1992F, Y1993, Y1993F, Y1994, Y1994F, Y1995, Y1995F , Y1996, Y1996F , Y1997, Y1997F , Y1998, Y1998F , Y1999, Y1999F , Y2000, Y2000F , Y2001, Y2001F , Y2002, Y2002F , Y2003, Y2003F , Y2004, Y2004F , Y2005, Y2005F , Y2006, Y2006F , Y2007, Y2007F , Y2008, Y2008F , Y2009, Y2009F , Y2010, Y2010F , Y2011, Y2011F , Y2012, Y2012F , Y2013, Y2013F , Y2014, Y2014F , 
Ethiopia    , 15  , Wheat       , 5312   , Area harvested, ha    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 578230, 0    , 746810, 0    , 826840 , 0    , 959450 , 0    , 846000 , 0    , 831770 , 0    , 1031140, 0    , 1062010, 0    , 1203720, 0    , 1006271, 0    , 1166237, 0    , 1098907, 0    , 1398215, 0    , 1459540, 0    , 1473917, 0    , 1424719, 0    , 1683565, 0    , 1553240, 0    , 1437485, 0    , 1627647, 0    , 1605654, 0    , 1663845, 0
Ethiopia    , 15  , Wheat       , 5419   , Yield         , hg/ha , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 15487 , Fc   , 10749 , Fc   , 13106  , Fc   , 12114  , Fc   , 12917  , Fc   , 13738  , Fc   , 11150  , Fc   , 11631  , Fc   , 13259  , Fc   , 14354  , Fc   , 13874  , Fc   , 14691  , Fc   , 15567  , Fc   , 15204  , Fc   , 16711  , Fc   , 16245  , Fc   , 18269  , Fc   , 18385  , Fc   , 20288  , Fc   , 21102  , Fc   , 24446  , Fc   , 25433  , Fc
Ethiopia    , 15  , Wheat       , 5510   , Production    , tonnes, 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0      , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 0     , 0    , 895520, 0    , 802747, 0    , 1083680, 0    , 1162310, 0    , 1092820, 0    , 1142710, 0    , 1149670, 0    , 1235270, 0    , 1596020, 0    , 1444434, 0    , 1618093, 0    , 1614441, 0    , 2176603, 0    , 2219075, 0    , 2463064, 0    , 2314489, 0    , 3075644, 0    , 2855682, 0    , 2916334, 0    , 3434706, 0    , 3925174, 0    , 4231589, 0
            ,     ,             ,        ,               ,       ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,       ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        , 
Ethiopia PDR, 83  , Sorghum     , 5312   , Area harvested, ha    , 1000000, F    , 1022000, F    , 1046000, F    , 1063800,      , 1071200,      , 1081700,      , 1129500,      , 1174000,      , 1186600,      , 1203200,      , 1233500,      , 926700,      , 800000,      , 812000,      , 751100,      , 777600,      , 746900,      , 763000,      , 726400 ,      , 1026290,      , 967700 ,      , 844260 ,      , 905650 ,      , 913610 ,      , 768060,      , 858060,      , 851420,      , 782240,      , 627070,      , 738250,      , 517150,      , 461270,      ,       ,      ,       ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        , 
Ethiopia PDR, 83  , Sorghum     , 5419   , Yield         , hg/ha , 7930   , Fc   , 7926   , Fc   , 7925   , Fc   , 8021   , Fc   , 8100   , Fc   , 8200   , Fc   , 8164   , Fc   , 6814   , Fc   , 8489   , Fc   , 8617   , Fc   , 8932   , Fc   , 10180 , Fc   , 9375  , Fc   , 9225  , Fc   , 8395  , Fc   , 11260 , Fc   , 10118 , Fc   , 9278  , Fc   , 14517  , Fc   , 16011  , Fc   , 14579  , Fc   , 14291  , Fc   , 14977  , Fc   , 13153  , Fc   , 6604  , Fc   , 10542 , Fc   , 11390 , Fc   , 11632 , Fc   , 13543 , Fc   , 13177 , Fc   , 13433 , Fc   , 12247 , Fc   ,       ,      ,       ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        , 
Ethiopia PDR, 83  , Sorghum     , 5510   , Production    , tonnes, 793000 , F    , 810000 , F    , 829000 , F    , 853300 ,      , 867700 ,      , 887000 ,      , 922100 ,      , 800000 , F    , 1007300,      , 1036800,      , 1101800,      , 943400,      , 750000,      , 749100,      , 630520,      , 875540,      , 755680,      , 707900,      , 1054520,      , 1643180,      , 1410830,      , 1206500,      , 1356380,      , 1201630,      , 507220,      , 904548,      , 969736,      , 909889,      , 849224,      , 972805,      , 694662,      , 564929,      ,       ,      ,       ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        ,      ,        , 
